Namespace(batch_size=32, cuda=True, dropout=0.1, emb_dropout=0.1, clip=0.4, epochs=30, ksize=4, data='./data/lambada', emsize=500, levels=5, log_interval=100, lr=4, nhid=500, seed=1111, tied=True, optim='SGD', validseqlen=50, seq_len=100, corpus=False, power=2, save='model_WL_power2.pt')
torch.Size([32, 6782901])
Total # of words: 93216
Weight tied
| epoch   1 |   100/135658 batches | lr 4.00000 | ms/batch 167.77790 | loss 12.34 | ppl 228852.24
| epoch   1 |   200/135658 batches | lr 4.00000 | ms/batch 104.04685 | loss 10.41 | ppl 33309.57
| epoch   1 |   300/135658 batches | lr 4.00000 | ms/batch 104.57549 | loss  9.41 | ppl 12240.05
| epoch   1 |   400/135658 batches | lr 4.00000 | ms/batch 104.87995 | loss  8.39 | ppl  4402.03
| epoch   1 |   500/135658 batches | lr 4.00000 | ms/batch 103.95807 | loss  7.94 | ppl  2804.63
| epoch   1 |   600/135658 batches | lr 4.00000 | ms/batch 104.59546 | loss  7.59 | ppl  1986.63
| epoch   1 |   700/135658 batches | lr 4.00000 | ms/batch 103.91213 | loss  7.32 | ppl  1507.67
| epoch   1 |   800/135658 batches | lr 4.00000 | ms/batch 103.99317 | loss  7.18 | ppl  1311.24
| epoch   1 |   900/135658 batches | lr 4.00000 | ms/batch 104.02378 | loss  7.06 | ppl  1163.66
| epoch   1 |  1000/135658 batches | lr 4.00000 | ms/batch 104.05828 | loss  6.95 | ppl  1039.17
| epoch   1 |  1100/135658 batches | lr 4.00000 | ms/batch 104.09107 | loss  6.79 | ppl   887.50
| epoch   1 |  1200/135658 batches | lr 4.00000 | ms/batch 104.50193 | loss  6.68 | ppl   792.54
| epoch   1 |  1300/135658 batches | lr 4.00000 | ms/batch 103.94201 | loss  6.61 | ppl   739.61
| epoch   1 |  1400/135658 batches | lr 4.00000 | ms/batch 104.11184 | loss  6.45 | ppl   634.50
| epoch   1 |  1500/135658 batches | lr 4.00000 | ms/batch 103.86577 | loss  6.42 | ppl   611.65
| epoch   1 |  1600/135658 batches | lr 4.00000 | ms/batch 103.86357 | loss  6.36 | ppl   579.36
| epoch   1 |  1700/135658 batches | lr 4.00000 | ms/batch 103.75064 | loss  6.28 | ppl   535.99
| epoch   1 |  1800/135658 batches | lr 4.00000 | ms/batch 104.44052 | loss  6.25 | ppl   517.16
| epoch   1 |  1900/135658 batches | lr 4.00000 | ms/batch 103.80755 | loss  6.13 | ppl   459.47
